1	2718	195	56480	2
1	57351	229	112646	1
1	113812	27	117678	0
1	118092	1	118092	1
1	118116	97	129693	0
1	130454	1	130454	2
1	130625	296	193149	1
1	193329	83	203117	2
2	9710	138	45853	0
2	46755	209	89194	1
2	90193	6	90695	0
2	91802	157	127025	1
2	127605	328	200276	2
2	201003	414	304384	1
2	304737	7	305881	2
2	306932	695	449888	1
2	450377	2	450832	2
2	451175	2	451279	1
2	451403	1	451403	2
2	451502	125	482720	1
2	483653	43	492334	0
2	492887	43	499580	1
2	500417	5	501073	0
2	501677	530	586218	1
2	587309	209	635880	0
2	637178	247	679544	1
2	679593	6	680743	0
2	681346	185	720931	1
2	720973	82	736274	0
2	736377	1	736377	1
2	736426	1	736426	0
2	736599	40	744922	1
2	746478	3	746935	2
2	747498	50	759735	1
2	760248	5	760599	2
2	760767	147	792530	1
2	793635	42	801218	2
2	803202	3	804364	1
3	11436	135	40637	2
3	41281	119	65398	1
3	65554	115	93902	2
3	93980	281	153139	1
3	153915	8	155488	0
3	155835	17	161803	1
3	162890	38	170455	2
3	170631	145	212107	1
3	212321	45	221219	0
3	221702	179	247889	1
3	248528	349	303533	2
4	2406	2	2587	0
4	18422	39	22056	1
4	22448	46	29570	0
4	30062	71	46397	1
4	46608	77	61175	0
4	61190	1	61190	1
4	62205	750	232597	0
4	233237	239	282068	1
4	283030	44	292455	2
4	294517	10	296339	1
4	297889	256	357625	2
4	358035	9	358561	1
4	358672	51	367618	2
4	368092	2	368708	1
4	369247	192	411189	2
4	411448	171	463889	1
4	465343	1	465343	2
4	465736	268	550727	1
4	551018	193	591069	2
4	591909	89	613152	1
4	613603	14	615092	0
4	615247	1	615247	1
4	615319	1	615319	0
4	615431	43	625533	1
4	627578	32	632064	0
4	632397	1	632397	1
4	632835	231	692212	0
4	692655	4	693429	1
4	693728	41	699204	0
4	699549	1	699549	1
4	700023	28	703572	0
4	703854	42	714801	1
4	714934	18	718666	0
4	719032	333	821498	1
4	821555	42	831279	2
4	832547	62	845875	1
4	846867	5	848397	2
4	850922	104	889650	1
4	890044	338	966300	2
4	966303	1	966303	1
4	966390	282	1052088	2
